Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,tuning[ns],optimumPerformance[ns]
2025-02-01 23:24:53,162,pairwise,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,1544513,977435
2025-02-01 23:25:06,6162,pairwise,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,1889311,744022
