Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,tuning[ns],optimumPerformance[ns]
2024-11-03 00:50:00,306,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,12901686,27368071
2024-11-03 00:50:31,871,LinkedCells,1.000000,lc_c04,none,AoS,enabled,14719346,24017961
2024-11-03 00:51:01,1435,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,16522951,23109613
2024-11-03 00:51:30,1983,LinkedCells,1.000000,lc_c18,none,AoS,enabled,13889417,22141173
2024-11-03 00:52:05,2707,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,14837880,20752283
2024-11-03 00:52:34,3335,LinkedCells,1.000000,lc_c18,none,AoS,enabled,13459013,20246769
2024-11-03 00:53:02,3909,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,12583141,20593612
2024-11-03 00:53:31,4488,LinkedCells,1.000000,lc_c18,none,AoS,enabled,13470263,20713761
2024-11-03 00:54:02,5134,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,12667015,20585688
2024-11-03 00:54:30,5721,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,13256461,20242279
2024-11-03 00:54:59,6319,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,13143047,20195880
2024-11-03 00:55:28,6910,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,14115590,20356141
2024-11-03 00:55:58,7503,LinkedCells,1.000000,lc_c08,none,AoS,enabled,13524074,20616308
2024-11-03 00:56:27,8106,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,12548108,20007936
2024-11-03 00:56:54,8611,LinkedCells,1.000000,lc_c04,none,AoS,enabled,12532866,21053847
2024-11-03 00:57:27,9284,LinkedCells,1.000000,lc_c08,none,AoS,enabled,15001047,20563946
2024-11-03 00:58:00,9881,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,12906213,21542333
2024-11-03 00:58:35,10465,LinkedCells,1.000000,lc_c18,none,AoS,enabled,12773819,22354179
2024-11-03 00:59:17,11133,LinkedCells,1.000000,lc_c18,none,AoS,enabled,13234730,22899866
2024-11-03 00:59:50,11651,LinkedCells,1.000000,lc_c04,none,AoS,enabled,13872544,22582552
